Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,561.049988,572.250000,561.000000,566.200012,566.200012,19133
2023-03-28,566.849976,567.400024,550.799988,563.450012,563.450012,17220
2023-03-29,555.000000,589.549988,555.000000,583.849976,583.849976,41844
2023-03-31,583.900024,591.400024,578.000000,578.849976,578.849976,32551
2023-04-03,580.000000,580.700012,560.400024,562.799988,562.799988,24335
2023-04-05,569.000000,570.650024,555.950012,558.400024,558.400024,22666
2023-04-06,554.750000,571.000000,553.900024,569.450012,569.450012,53520
2023-04-10,573.549988,573.549988,560.500000,564.299988,564.299988,26344
2023-04-11,567.049988,588.000000,560.000000,578.200012,578.200012,28245
2023-04-12,580.000000,587.250000,574.400024,580.450012,580.450012,68515
2023-04-13,638.450012,683.799988,592.950012,679.599976,679.599976,2456425
2023-04-17,660.950012,692.700012,660.950012,688.450012,688.450012,228927
2023-04-18,687.000000,696.000000,681.200012,693.099976,693.099976,81759
2023-04-19,689.750000,698.849976,674.549988,678.299988,678.299988,293912
2023-04-20,682.799988,685.049988,674.500000,679.549988,679.549988,44284
2023-04-21,671.799988,680.000000,657.150024,667.000000,667.000000,85348
2023-04-24,662.000000,669.000000,658.549988,664.000000,664.000000,49637
2023-04-25,669.900024,669.900024,658.549988,660.000000,660.000000,41174
2023-04-26,649.400024,652.750000,631.000000,643.799988,643.799988,149423
2023-04-27,642.500000,650.250000,639.099976,644.049988,644.049988,76448
2023-04-28,640.049988,665.700012,640.049988,663.750000,663.750000,34880
2023-05-02,670.500000,685.049988,664.549988,684.099976,684.099976,103182
2023-05-03,683.950012,691.599976,678.900024,685.099976,685.099976,47598
2023-05-04,689.450012,691.900024,681.950012,684.849976,684.849976,21703
2023-05-05,680.049988,691.000000,673.099976,674.299988,674.299988,22832
2023-05-08,675.049988,694.000000,673.349976,690.950012,690.950012,48348
2023-05-09,685.049988,704.950012,685.049988,701.000000,701.000000,38843
2023-05-10,706.200012,721.349976,687.750000,692.950012,692.950012,76721
2023-05-11,703.950012,710.000000,687.299988,707.549988,707.549988,65039
2023-05-12,706.150024,715.700012,696.900024,713.150024,713.150024,44681
2023-05-15,715.000000,721.599976,709.049988,716.950012,716.950012,38301
2023-05-16,719.900024,736.700012,716.599976,728.650024,728.650024,61781
2023-05-17,730.000000,732.000000,719.250000,731.150024,731.150024,19805
2023-05-19,749.000000,755.900024,733.849976,753.450012,753.450012,27137
2023-05-22,752.349976,761.299988,752.349976,758.750000,758.750000,18935
2023-05-23,752.049988,774.599976,752.049988,762.650024,762.650024,52378
2023-05-24,756.400024,766.950012,749.299988,765.900024,765.900024,22293
2023-05-25,760.049988,773.000000,760.049988,769.450012,769.450012,21269
2023-05-26,768.950012,780.400024,765.049988,778.599976,778.599976,15108
2023-05-30,779.799988,788.049988,771.099976,774.500000,774.500000,32677
2023-05-31,768.049988,785.000000,758.049988,776.049988,776.049988,25246
